 Order ID;customer name;E-mail;Phone;Order Date;Product;Qty;Unit Price;Country
ORD-1026;Julia Visser;JULIA.VISSER@EXAMPLE.COM;0031654585178;26/01/2026;Linen Tote Bag;4;18.00;Nederland
ORD-1038;Daan Visser;daan.visser@example.com;0049687267850;2026-01-16;Notebook A5;3;€9.99;Deutschland
ORD-1034;FINN BAKKER;finn.bakker@example.com;0032624305904;08/01/2026;Wool Scarf;4;€39.00;BE
;;;;;;;;
ORD-1021;Tess Peeters;tess.peeters@example.com;0049659597086;Jan 06 2026;Linen Tote Bag;4;18,00 EUR;Duitsland
ORD-1031;Julia Visser;julia.visser@example.com;0049692613013;2026-01-13;Wool Scarf;2;€39.00;Duitsland
ORD-1017;  Finn Bakker ;finn.bakker@example.com;0049632097220;Jan 01 2026;Notebook A5; 2 ;9,99 EUR;Deutschland
ORD-1036;  Lotte Bakker ;lotte.bakker@example.com;0032647220099;21/01/2026;Notebook A5;1;9,99 EUR;Belgium
ORD-1005;Sara Smit;not-an-email;0049699949389;2026-01-23;Wool Scarf;2;€ 39,00;Germany
ORD-1015;  Jonas Meijer ;jonas.meijer@example.com;+49 696728778;Jan 02 2026;Notebook A5;;€ 9,99;Germany
ORD-1028;Noah Mulder;noah.mulder@example.com;+32 613704481;09/01/2026;Notebook A5;3;9.99;BE
ORD-1032;Mila Schmidt;mila.schmidt@example.com;+49 632775593;10-1-2026; notebook a5 ;2;9,99 EUR;Germany
ORD-1012;MAX JANSEN;max.jansen@example.com;0032645575298;07/01/2026;Linen Tote Bag; 2 ;18,00 EUR;België
ORD-1035;Finn Jansen;finn.jansen@example.com;0049689920257;Jan 25 2026;Linen Tote Bag;4;€18.00;Duitsland
ORD-1002;Emma Peeters;emma.peeters@example.com;+31 6 89089901;2026-01-26;Wool Scarf;2;€39.00;netherlands
ORD-1007;tess janssens;tess.janssens@example.com;0032696282117;5-1-2026; scented candle ;4;22,95 EUR;Belgium 
ORD-1018;max bakker;MAX.BAKKER@EXAMPLE.COM;+31 6 18181586;2026-01-02;Scented Candle;1.0;€ 22,95;NL
